Agent_ID,Locale,Profile,Age,Socioeconomic,Tech_Adoption,Family,Education,Religion,Politics,Hobby,Primary_Fear,Backstory,O,C,E,A,N
Agent_028,ES,Director de Marketing (CMO) / Empleado,58,Medio,0.54,Soltero/a sin hijos,Doble Grado,Ateo/Agnóstico,Socialdemócrata (PSOE),Tapas en La Latina,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 58 años, de nivel socioeconómico Medio. Tengo una estructura familiar tipo 'Soltero/a sin hijos', y mi principal desconexión del trabajo es tapas en la latina. Me formé en Doble Grado y tengo una mentalidad tendiente a lo Socialdemócrata (PSOE) (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.57,0.61,0.71,0.52,0.2
Agent_016,ES,Dueño de Agencia de Publicidad / Autónomo,56,Bajo,0.39,Conviviente,"Universidad Privada (Esic, IE)",Ateo/Agnóstico,Centro Liberal,Bicicleta/Ciclismo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 56 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Conviviente', y mi principal desconexión del trabajo es bicicleta/ciclismo. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Centro Liberal (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.79,0.41,0.89,0.68,0.36
Agent_041,ES,Director de Marketing (CMO) / Empleado,56,Medio-Alto,0.45,Divorciado/a,Doble Grado,Ateo/Agnóstico,Liberal,Tapas en La Latina,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 56 años, de nivel socioeconómico Medio-Alto. Tengo una estructura familiar tipo 'Divorciado/a', y mi principal desconexión del trabajo es tapas en la latina. Me formé en Doble Grado y tengo una mentalidad tendiente a lo Liberal (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.49,0.35,0.66,0.78,0.83
Agent_018,ES,Dueño de Agencia de Publicidad / Autónomo,34,Medio,0.97,Divorciado/a,"Universidad Privada (Esic, IE)",Católico no practicante,Apolítico indignado,Bicicleta/Ciclismo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 34 años, de nivel socioeconómico Medio. Tengo una estructura familiar tipo 'Divorciado/a', y mi principal desconexión del trabajo es bicicleta/ciclismo. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Apolítico indignado (Católico no practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.94,0.58,0.38,0.37,0.72
Agent_032,ES,Director de Marketing (CMO) / Empleado,56,Medio-Alto,0.58,Divorciado/a,Universidad Pública + Máster,Católico no practicante,Socialdemócrata (PSOE),Tapas en La Latina,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 56 años, de nivel socioeconómico Medio-Alto. Tengo una estructura familiar tipo 'Divorciado/a', y mi principal desconexión del trabajo es tapas en la latina. Me formé en Universidad Pública + Máster y tengo una mentalidad tendiente a lo Socialdemócrata (PSOE) (Católico no practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.79,0.26,0.24,0.45,0.86
Agent_026,ES,Director de Marketing (CMO) / Empleado,29,Bajo,0.23,Casado/a con hijos,Universidad Pública + Máster,Ateo/Agnóstico,Progresista,Escapadas de fin de semana,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 29 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Casado/a con hijos', y mi principal desconexión del trabajo es escapadas de fin de semana. Me formé en Universidad Pública + Máster y tengo una mentalidad tendiente a lo Progresista (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.37,0.53,0.24,0.23,0.88
Agent_021,ES,Dueño de Agencia de Publicidad / Autónomo,41,Bajo,0.14,Soltero/a sin hijos,"Universidad Privada (Esic, IE)",Ateo/Agnóstico,Centro Liberal,Pádel competitivo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 41 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Soltero/a sin hijos', y mi principal desconexión del trabajo es pádel competitivo. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Centro Liberal (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.72,0.66,0.45,0.4,0.75
Agent_019,ES,Dueño de Agencia de Publicidad / Autónomo,33,Medio,0.23,Soltero/a sin hijos,Universidad Pública,Católico no practicante,Conservador (PP/Vox),Pádel competitivo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 33 años, de nivel socioeconómico Medio. Tengo una estructura familiar tipo 'Soltero/a sin hijos', y mi principal desconexión del trabajo es pádel competitivo. Me formé en Universidad Pública y tengo una mentalidad tendiente a lo Conservador (PP/Vox) (Católico no practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.36,0.7,0.14,0.46,0.41
Agent_007,ES,Dueño de Agencia de Publicidad / Autónomo,50,Medio-Alto,0.47,Conviviente,"Universidad Privada (Esic, IE)",Católico practicante,Centro Liberal,Pádel competitivo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 50 años, de nivel socioeconómico Medio-Alto. Tengo una estructura familiar tipo 'Conviviente', y mi principal desconexión del trabajo es pádel competitivo. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Centro Liberal (Católico practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.82,0.64,0.25,0.82,0.38
Agent_013,ES,Dueño de Agencia de Publicidad / Autónomo,32,Bajo,0.15,Casado/a con hijos,"Universidad Privada (Esic, IE)",Católico practicante,Apolítico indignado,Crossfit/Gimnasio,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 32 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Casado/a con hijos', y mi principal desconexión del trabajo es crossfit/gimnasio. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Apolítico indignado (Católico practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.75,0.82,0.49,0.49,0.43
Agent_034,ES,Director de Marketing (CMO) / Empleado,60,Medio,0.43,Conviviente,Universidad Pública + Máster,Ateo/Agnóstico,Socialdemócrata (PSOE),Deportes de riesgo,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 60 años, de nivel socioeconómico Medio. Tengo una estructura familiar tipo 'Conviviente', y mi principal desconexión del trabajo es deportes de riesgo. Me formé en Universidad Pública + Máster y tengo una mentalidad tendiente a lo Socialdemócrata (PSOE) (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.44,0.65,0.79,0.63,0.69
Agent_023,ES,Dueño de Agencia de Publicidad / Autónomo,60,Bajo,0.45,Soltero/a sin hijos,Grado Superior FP,Católico practicante,Conservador (PP/Vox),Pádel competitivo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 60 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Soltero/a sin hijos', y mi principal desconexión del trabajo es pádel competitivo. Me formé en Grado Superior FP y tengo una mentalidad tendiente a lo Conservador (PP/Vox) (Católico practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.25,0.25,0.19,0.76,0.32
Agent_011,ES,Dueño de Agencia de Publicidad / Autónomo,57,Medio,0.26,Casado/a con hijos,Universidad Pública,Ateo/Agnóstico,Conservador (PP/Vox),Pádel competitivo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 57 años, de nivel socioeconómico Medio. Tengo una estructura familiar tipo 'Casado/a con hijos', y mi principal desconexión del trabajo es pádel competitivo. Me formé en Universidad Pública y tengo una mentalidad tendiente a lo Conservador (PP/Vox) (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.13,0.27,0.19,0.8,0.26
Agent_017,ES,Dueño de Agencia de Publicidad / Autónomo,56,Medio,0.86,Casado/a con hijos,"Universidad Privada (Esic, IE)",Ateo/Agnóstico,Conservador (PP/Vox),Bicicleta/Ciclismo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 56 años, de nivel socioeconómico Medio. Tengo una estructura familiar tipo 'Casado/a con hijos', y mi principal desconexión del trabajo es bicicleta/ciclismo. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Conservador (PP/Vox) (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.96,0.68,0.45,0.69,0.52
Agent_002,ES,Dueño de Agencia de Publicidad / Autónomo,56,Alto,0.53,Soltero/a sin hijos,Universidad Pública,Católico no practicante,Apolítico indignado,Crossfit/Gimnasio,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 56 años, de nivel socioeconómico Alto. Tengo una estructura familiar tipo 'Soltero/a sin hijos', y mi principal desconexión del trabajo es crossfit/gimnasio. Me formé en Universidad Pública y tengo una mentalidad tendiente a lo Apolítico indignado (Católico no practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.89,0.48,0.41,0.59,0.17
Agent_009,ES,Dueño de Agencia de Publicidad / Autónomo,42,Alto,0.04,Casado/a con hijos,"Universidad Privada (Esic, IE)",Católico no practicante,Conservador (PP/Vox),Cañas de Afterwork,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 42 años, de nivel socioeconómico Alto. Tengo una estructura familiar tipo 'Casado/a con hijos', y mi principal desconexión del trabajo es cañas de afterwork. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Conservador (PP/Vox) (Católico no practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.2,0.64,0.64,0.86,0.69
Agent_029,ES,Director de Marketing (CMO) / Empleado,27,Alto,0.86,Casado/a con hijos,Universidad Pública + Máster,Católico no practicante,Socialdemócrata (PSOE),Deportes de riesgo,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 27 años, de nivel socioeconómico Alto. Tengo una estructura familiar tipo 'Casado/a con hijos', y mi principal desconexión del trabajo es deportes de riesgo. Me formé en Universidad Pública + Máster y tengo una mentalidad tendiente a lo Socialdemócrata (PSOE) (Católico no practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.76,0.23,0.72,0.81,0.64
Agent_012,ES,Dueño de Agencia de Publicidad / Autónomo,35,Medio-Alto,0.36,Divorciado/a,Universidad Pública,Ateo/Agnóstico,Conservador (PP/Vox),Crossfit/Gimnasio,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 35 años, de nivel socioeconómico Medio-Alto. Tengo una estructura familiar tipo 'Divorciado/a', y mi principal desconexión del trabajo es crossfit/gimnasio. Me formé en Universidad Pública y tengo una mentalidad tendiente a lo Conservador (PP/Vox) (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.46,0.54,0.18,0.8,0.28
Agent_046,ES,Director de Marketing (CMO) / Empleado,50,Bajo,0.77,Soltero/a sin hijos,Universidad Pública + Máster,Ateo/Agnóstico,Liberal,Escapadas de fin de semana,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 50 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Soltero/a sin hijos', y mi principal desconexión del trabajo es escapadas de fin de semana. Me formé en Universidad Pública + Máster y tengo una mentalidad tendiente a lo Liberal (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.8,0.83,0.61,0.49,0.25
Agent_048,ES,Director de Marketing (CMO) / Empleado,38,Bajo,0.86,Casado/a con hijos,Universidad Pública + Máster,Católico no practicante,Progresista,Tapas en La Latina,"Crisis laboral, despidos por reducción de plantilla o el Burnout.","Soy un Director de Marketing (CMO) / Empleado español de 38 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Casado/a con hijos', y mi principal desconexión del trabajo es tapas en la latina. Me formé en Universidad Pública + Máster y tengo una mentalidad tendiente a lo Progresista (Católico no practicante). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Crisis laboral, despidos por reducción de plantilla o el Burnout.",0.71,0.26,0.55,0.24,0.2
Agent_003,ES,Dueño de Agencia de Publicidad / Autónomo,46,Alto,0.99,Soltero/a sin hijos,Universidad Pública,Ateo/Agnóstico,Conservador (PP/Vox),Cañas de Afterwork,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 46 años, de nivel socioeconómico Alto. Tengo una estructura familiar tipo 'Soltero/a sin hijos', y mi principal desconexión del trabajo es cañas de afterwork. Me formé en Universidad Pública y tengo una mentalidad tendiente a lo Conservador (PP/Vox) (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.97,0.35,0.85,0.28,0.47
Agent_010,ES,Dueño de Agencia de Publicidad / Autónomo,27,Bajo,0.66,Divorciado/a,"Universidad Privada (Esic, IE)",Ateo/Agnóstico,Centro Liberal,Bicicleta/Ciclismo,Inspección sorpresa de Hacienda que arruine el negocio.,"Soy un Dueño de Agencia de Publicidad / Autónomo español de 27 años, de nivel socioeconómico Bajo. Tengo una estructura familiar tipo 'Divorciado/a', y mi principal desconexión del trabajo es bicicleta/ciclismo. Me formé en Universidad Privada (Esic, IE) y tengo una mentalidad tendiente a lo Centro Liberal (Ateo/Agnóstico). Mi mayor angustia y motor de preocupación diaria es que sufro por este escenario: Inspección sorpresa de Hacienda que arruine el negocio.",0.34,0.56,0.86,0.54,0.58
