Agent_ID,Locale,Profile,Age,Socioeconomic,Tech_Adoption,Family,Education,Religion,Politics,Hobby,Primary_Fear,Backstory,O,C,E,A,N
Agent_026,AR_GASTRO,Dueño de Restaurante (GBA Sur),27,Alto,0.79,Casado/a con hijos,Privado Bilingüe,Católico,Conservador/Liberal,Pádel,Miedo a la inflación abrupta y la inseguridad económica.,"Soy un Dueño de Restaurante (GBA Sur). Pertenezco a un NSE Alto. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.95,0.68,0.9,0.18,0.78
Agent_012,AR_GASTRO,Dueño de Restaurante (Capital Federal),59,Medio,0.26,Soltero/a sin hijos,Universidad Pública de prestigio,Evangélico,Conservador/Liberal,Asado familiar,Miedo a la inflación abrupta y la inseguridad económica.,"Soy un Dueño de Restaurante (Capital Federal). Pertenezco a un NSE Medio. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.62,0.84,0.57,0.45,0.98
Agent_020,AR_GASTRO,Dueño de Restaurante (Mar del Plata),40,Medio,0.56,Conviviente,Universidad Pública de prestigio,Católico,Conservador/Liberal,Fútbol 5 con amigos,Miedo a la inflación abrupta y la inseguridad económica.,"Soy un Dueño de Restaurante (Mar del Plata). Pertenezco a un NSE Medio. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.54,0.78,0.73,0.45,0.8
Agent_065,AR_GASTRO,Dueño de Bar/Cervecería (Córdoba),31,Medio,0.45,Casado/a con hijos,Universidad Privada,Católico,Centro-Derecha,Fútbol 5 con amigos,Miedo a la inflación abrupta y la inseguridad económica.,"Soy un Dueño de Bar/Cervecería (Córdoba). Pertenezco a un NSE Medio. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.69,0.77,0.24,0.38,0.92
Agent_100,AR_GASTRO,Dueño de Cafetería (Rosario),55,Bajo,0.48,Conviviente,Terciario Técnico,Católico,Centro-Progresista,Gimnasio,Miedo a no llegar a fin de mes y perder el poder adquisitivo del sueldo.,"Soy un Dueño de Cafetería (Rosario). Pertenezco a un NSE Bajo. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.59,0.47,0.27,0.27,0.75
Agent_035,AR_GASTRO,Dueño de Restaurante (Capital Federal),30,Alto,0.19,Casado/a con hijos,Terciario Técnico,Evangélico,Peronista/Popular,Asado familiar,Miedo a no llegar a fin de mes y perder el poder adquisitivo del sueldo.,"Soy un Dueño de Restaurante (Capital Federal). Pertenezco a un NSE Alto. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.47,0.53,0.17,0.87,0.94
Agent_080,AR_GASTRO,Dueño de Bar/Cervecería (Capital Federal),43,Medio,0.84,Casado/a con hijos,Colegio/Escuela Pública,Ateo/Agnóstico,Centro-Progresista,Fútbol 5 con amigos,Miedo a no llegar a fin de mes y perder el poder adquisitivo del sueldo.,"Soy un Dueño de Bar/Cervecería (Capital Federal). Pertenezco a un NSE Medio. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.83,0.62,0.49,0.86,0.82
Agent_003,AR_GASTRO,Dueño de Restaurante (GBA Sur),60,Medio,0.31,Divorciado/a,Terciario Técnico,Católico,Centro-Progresista,Gaming,Miedo a no llegar a fin de mes y perder el poder adquisitivo del sueldo.,"Soy un Dueño de Restaurante (GBA Sur). Pertenezco a un NSE Medio. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.19,0.78,0.65,0.47,0.9
Agent_034,AR_GASTRO,Dueño de Restaurante (Rosario),42,Alto,0.96,Casado/a con hijos,Terciario Técnico,Evangélico,Centro-Progresista,Gimnasio,Miedo a no llegar a fin de mes y perder el poder adquisitivo del sueldo.,"Soy un Dueño de Restaurante (Rosario). Pertenezco a un NSE Alto. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.9,0.33,0.64,0.55,0.92
Agent_064,AR_GASTRO,Dueño de Bar/Cervecería (Rosario),32,Medio,0.97,Soltero/a sin hijos,Universidad Pública de prestigio,Católico,Conservador/Liberal,Asado familiar,Miedo a la inflación abrupta y la inseguridad económica.,"Soy un Dueño de Bar/Cervecería (Rosario). Pertenezco a un NSE Medio. Mi miedo principal: Que me renuncie un cocinero un viernes, afrontar un juicio laboral destructivo o no llegar a cubrir los sueldos en temporada baja Soy un emprendedor gastronómico sobrepasado de estrés y siempre en urgencia.",0.76,0.28,0.63,0.65,0.83
